Repeat,Packet,Received Bytes,Delta Time in ns
1,1,6200,0
1,2,6200,7088281
1,3,6200,7919843
1,4,6200,8179062
1,5,6200,8321771
1,6,6200,9250677
1,7,6200,9408646
1,8,6200,9541927
1,9,6200,9683906
1,10,6200,13273125
1,11,6200,15512448
1,12,6200,15673593
1,13,6200,15807031
1,14,6200,15976510
1,15,6200,16105885
1,16,6200,16233489
1,17,6200,16380416
1,18,6200,19472187
1,19,6200,19642604
1,20,6200,19786302
1,21,6200,19915885
1,22,6200,20039843
1,23,6200,20166771
1,24,6200,20313698
1,25,6200,20502135
1,26,6200,20629583
1,27,6200,25437187
1,28,6200,25576771
1,29,6200,25705573
1,30,6200,25831823
1,31,6200,25972708
1,32,6200,26098958
1,33,6200,26230729
1,34,6200,26407604
1,35,6200,31625156
1,36,6200,31760937
1,37,6200,31887656
1,38,6200,32032552
1,39,6200,32158906
1,40,6200,32284739
1,41,6200,32411458
1,42,6200,32540156
1,43,6200,37846198
1,44,6200,38037968
1,45,6200,38225208
1,46,6200,38394323
1,47,6200,39188177
1,48,6200,39411146
1,49,6200,39583958
1,50,6200,39788802
1,51,6200,43093802
1,52,6200,43158229
1,53,6200,43213698
1,54,6200,43268385
1,55,6200,43321718
1,56,6200,43390468
1,57,6200,43445260
1,58,6200,43558437
1,59,6200,48110156
1,60,6200,48228489
1,61,6200,48281718
1,62,6200,48412291
1,63,6200,48484948
1,64,6200,48548281
1,65,6200,48608021
1,66,6200,49944114
1,67,6200,49999635
1,68,6200,54402656
1,69,6200,54458229
1,70,6200,54638073
1,71,6200,54684375
1,72,6200,54860989
1,73,6200,54913698
1,74,6200,54959948
1,75,6200,55015729
1,76,6200,55072500
1,77,6200,60561354
1,78,6200,60619791
1,79,6200,60665937
1,80,6200,60712812
1,81,6200,60770937
1,82,6200,60821562
1,83,6200,60865416
1,84,6200,66340833
1,85,6200,66396666
1,86,6200,66670937
1,87,6200,66719531
1,88,6200,66765468
1,89,6200,67177604
1,90,6200,67225885
1,91,6200,67269375
1,92,6200,72660885
1,93,6200,72719687
1,94,6200,72769114
1,95,6200,72816146
1,96,6200,72860937
1,97,6200,72907031
1,98,6200,72952448
1,99,6200,72997552
1,100,6200,73187135
1,101,6200,78140000
1,102,6200,78374062
1,103,6200,78422135
1,104,6200,78694843
1,105,6200,78745104
1,106,6200,78792604
1,107,6200,78844062
1,108,6200,78889166
1,109,6200,84825208
1,110,6200,84968437
1,111,6200,85043229
1,112,6200,85109583
1,113,6200,85167187
1,115,6200,85231875
1,114,6200,85302343
1,116,6200,85362916
1,117,6200,90360416
1,118,6200,90739375
1,119,6200,90802135
1,120,6200,90859948
1,121,6200,90927135
1,122,6200,90986093
1,123,6200,91046250
1,124,6200,91103698
1,125,6200,91160885
1,126,6200,96347968
1,127,6200,96668541
1,128,6200,96734896
1,129,6200,96804791
1,130,6200,103884010
1,131,6200,103934375
1,132,6200,103981823
1,133,6200,104029843
1,134,6200,104072239
1,135,6200,104118541
1,136,6200,104176354
1,137,6200,104219062
1,138,6200,104261354
1,139,6200,104302291
1,140,6200,104345781
1,141,6200,104401302
1,142,6200,108415625
1,143,6200,108457812
1,144,6200,108496666
1,145,6200,108535625
1,146,6200,108884635
1,147,6200,108921927
1,148,6200,108960989
1,149,6200,108997760
1,150,6200,109033489
2,1,6200,0
2,2,6200,8134167
2,3,6200,8279948
2,4,6200,8412396
2,5,6200,8546823
2,6,6200,8679167
2,7,6200,8811927
2,8,6200,8937812
2,9,6200,9065364
2,10,6200,13974583
2,11,6200,14045625
2,12,6200,14107864
2,13,6200,14169583
2,14,6200,14233437
2,15,6200,14728958
2,16,6200,14884219
2,17,6200,15017604
2,18,6200,15147083
2,19,6200,18648906
2,20,6200,18906719
2,21,6200,19906719
2,22,6200,20166250
2,23,6200,20424375
2,24,6200,20678646
2,25,6200,20998385
