Repeat,Packet,Received Bytes,Delta Time in ns
1,253,1200,40036354
1,254,1200,40065312
1,255,1200,40093385
1,256,1200,40149062
1,257,1200,40194270
1,258,1200,58684843
1,259,1200,58711302
1,260,1200,58736718
1,261,1200,58762031
1,262,1200,58787343
1,263,1200,58812552
1,264,1200,58836354
1,265,1200,58860833
1,266,1200,58884531
1,267,1200,58908645
1,268,1200,58933333
1,269,1200,58957968
1,270,1200,58984947
1,271,1200,59023750
1,272,1200,59048281
1,273,1200,59073541
1,274,1200,59098229
1,275,1200,59122552
1,276,1200,59146927
1,277,1200,59171302
1,278,1200,59195364
1,279,1200,59219791
1,280,1200,59244218
1,281,1200,59270312
1,282,1200,59295312
1,283,1200,59319635
1,284,1200,59343489
1,285,1200,59381822
1,286,1200,59408125
1,287,1200,59433802
1,288,1200,59458281
1,289,1200,59482291
1,290,1200,59505781
1,291,1200,59530104
1,292,1200,59554270
1,293,1200,59578229
1,294,1200,59602187
1,295,1200,59626197
1,296,1200,59650416
1,297,1200,59675781
1,298,1200,59700520
1,299,1200,59726354
1,300,1200,59753281
1,301,1200,59777708
1,302,1200,59801250
1,303,1200,59825052
1,304,1200,59850937
1,305,1200,59876041
1,306,1200,59899895
1,307,1200,59924739
1,308,1200,59952291
1,309,1200,59976666
1,310,1200,60000625
1,311,1200,60025156
1,312,1200,60048906
1,313,1200,60074375
1,314,1200,60098541
1,315,1200,60122604
1,316,1200,60146041
1,317,1200,60169791
1,318,1200,60193750
1,319,1200,60218541
1,320,1200,60242760
1,321,1200,60267812
1,322,1200,60292343
1,323,1200,60316562
1,324,1200,60340052
1,325,1200,60363437
1,326,1200,60387708
1,327,1200,60411562
1,328,1200,61538697
1,329,1200,61565833
1,330,1200,61590416
1,331,1200,61614947
1,332,1200,61638906
1,333,1200,61662604
1,334,1200,61686875
1,335,1200,61710625
1,336,1200,61735052
1,337,1200,61781666
1,338,1200,61807708
1,339,1200,61831718
1,340,1200,61855312
1,341,1200,61879166
1,342,1200,61902968
1,343,1200,61926666
1,344,1200,61950000
1,345,1200,61974322
1,346,1200,61998281
1,347,1200,62022291
1,348,1200,62045572
1,349,1200,62069270
1,350,1200,62093020
1,351,1200,62117500
1,352,1200,62141718
1,353,1200,62166614
1,354,1200,62190937
1,355,1200,62215364
1,356,1200,62238906
1,357,1200,62262239
1,358,1200,62286250
1,359,1200,62310364
1,360,1200,62334322
1,361,1200,62375833
1,362,1200,62401666
1,363,1200,62425833
1,364,1200,62449583
1,365,1200,62473750
1,366,1200,62497864
1,367,1200,62521197
1,368,1200,62544947
1,369,1200,62568489
1,370,1200,62592395
1,371,1200,62616718
1,372,1200,62640572
1,373,1200,62664375
1,374,1200,62689947
1,375,1200,62714375
1,376,1200,62739062
1,377,1200,62763281
1,378,1200,62787812
1,379,1200,62811979
1,380,1200,62835729
1,381,1200,62871250
1,382,1200,62895781
1,383,1200,62945729
1,384,1200,62983645
1,385,1200,63021093
1,386,1200,63060104
1,387,1200,63098489
1,388,1200,63136041
1,389,1200,63175364
1,390,1200,63220052
1,391,1200,63258750
1,392,1200,63295729
1,393,1200,63332916
1,394,1200,63371093
1,395,1200,63407968
1,396,1200,63444739
1,397,1200,63488541
1,398,1200,63525520
1,399,1200,63562968
1,400,1200,63601666
1,401,1200,63638750
1,402,1200,63676718
1,403,1200,63715520
1,404,1200,63759270
1,405,1200,63798437
1,406,1200,63834895
1,407,1200,63871979
1,408,1200,63919010
1,409,1200,63957968
1,410,1200,63994166
1,411,1200,64036406
1,412,1200,64076927
1,413,1200,64113437
1,414,1200,64150572
1,415,1200,64189739
1,416,1200,64227864
1,417,1200,64265625
1,418,1200,64309843
1,419,1200,64346770
1,420,1200,64383333
1,421,1200,64421614
1,422,1200,64459010
1,423,1200,64496562
1,424,1200,64534791
1,425,1200,64576718
1,426,1200,64615677
1,427,1200,64653385
1,428,1200,64690312
1,429,1200,64730729
1,430,1200,64768645
1,431,1200,64805312
1,432,1200,64849166
1,433,1200,64886406
1,434,1200,67376093
1,435,1200,67440000
1,436,1200,67486250
1,437,1200,67533489
1,438,1200,67576250
1,439,1200,67619635
1,440,1200,67907343
1,441,1200,68028125
1,442,1200,68135572
1,443,1200,68241822
1,444,1200,68346041
1,445,1200,68455468
1,446,1200,68562447
1,447,1200,68667395
1,448,1200,68789687
1,449,1200,68897083
1,450,1200,69029531
1,451,1200,69135260
1,452,1200,69241145
1,453,1200,69350937
1,454,1200,69458645
1,455,1200,69579166
1,456,1200,69685052
1,457,1200,69793177
1,458,1200,69902708
1,459,1200,70009635
1,460,1200,70115260
1,461,1200,70224531
1,462,1200,70346197
1,463,1200,70455833
1,464,1200,70563177
1,465,1200,70691354
1,466,1200,70797135
1,467,1200,70901770
1,468,1200,71009479
1,469,1200,71127656
1,470,1200,71235729
1,471,1200,71341614
1,472,1200,71447552
1,473,1200,71554895
1,474,1200,71665520
1,475,1200,71772552
1,476,1200,71891354
1,477,1200,73040729
1,478,1200,73081145
1,479,1200,73119583
1,480,1200,73158489
1,481,1200,73197812
1,482,1200,73242968
1,483,1200,73778697
1,484,1200,73821250
1,485,1200,74178333
1,486,1200,74219375
1,487,1200,74257708
1,488,1200,74302083
1,489,1200,74353437
1,490,1200,74391562
1,491,1200,74590000
1,492,1200,74628541
1,493,1200,74666406
1,494,1200,74707447
1,495,1200,74746250
1,496,1200,74793906
1,497,1200,74834843
1,498,1200,74873854
1,499,1200,74913385
1,500,1200,74952604
1,501,1200,74990833
1,502,1200,75031302
1,503,1200,75075520
1,504,1200,75116666
1,505,1200,75156822
1,506,1200,75196041
1,507,1200,75250312
1,508,1200,75289531
1,509,1200,75330156
1,510,1200,75374635
1,511,1200,75413020
1,512,1200,75453229
1,513,1200,75507239
1,514,1200,87798385
1,515,1200,87824947
1,516,1200,87849375
1,517,1200,87873854
1,518,1200,87898385
1,519,1200,87922760
1,520,1200,87948020
1,521,1200,87971770
1,522,1200,87995833
1,523,1200,88020416
1,524,1200,88044895
1,525,1200,88069427
1,526,1200,88093802
1,527,1200,88118437
1,528,1200,88143437
1,529,1200,88168541
1,530,1200,88192656
1,531,1200,88219375
1,532,1200,88244114
1,533,1200,88267864
1,534,1200,88291927
1,535,1200,88316979
1,536,1200,88340937
1,537,1200,88365260
1,538,1200,88389270
1,539,1200,88414166
1,540,1200,88438802
1,541,1200,88463333
1,542,1200,88488854
1,543,1200,88513958
1,544,1200,88539427
1,545,1200,88563906
1,546,1200,88588177
1,547,1200,88612708
1,548,1200,88639322
1,549,1200,88664114
1,550,1200,88688645
1,551,1200,88712812
1,552,1200,88737343
1,553,1200,88761875
1,554,1200,88786770
1,555,1200,88810572
1,556,1200,88835781
1,557,1200,88861145
1,558,1200,88885572
1,559,1200,88909791
1,560,1200,88934114
1,561,1200,88958645
1,562,1200,88984427
1,563,1200,89009218
1,564,1200,89032968
1,565,1200,89056302
1,566,1200,89080468
1,567,1200,89104218
1,568,1200,89128750
1,569,1200,89153489
1,570,1200,89177864
1,571,1200,89201718
1,572,1200,89225885
1,573,1200,89248854
1,574,1200,89275000
1,575,1200,89299583
1,576,1200,89323593
1,577,1200,89348281
1,578,1200,89371927
1,579,1200,89395364
1,580,1200,89418854
1,581,1200,89443437
1,582,1200,89468697
1,583,1200,89493645
1,584,1200,89518958
1,585,1200,89589739
1,586,1200,89613125
1,587,1200,89636197
1,588,1200,89660104
1,589,1200,89684531
1,590,1200,89708385
1,591,1200,89731562
1,592,1200,89755104
1,593,1200,89779270
1,594,1200,89802395
1,595,1200,89825937
1,596,1200,89852187
1,597,1200,89877864
1,598,1200,89901927
1,599,1200,89925156
1,600,1200,89948802
1,601,1200,89973281
1,602,1200,89996770
1,603,1200,90020833
1,604,1200,90044791
1,605,1200,90067708
1,606,1200,91552239
1,607,1200,91579427
1,608,1200,91614791
1,609,1200,91638020
1,610,1200,91661458
1,611,1200,91686145
1,612,1200,91710208
1,613,1200,91733593
1,614,1200,91757708
1,615,1200,91782552
1,616,1200,91805625
1,617,1200,91828541
1,618,1200,91851510
1,619,1200,91875520
1,620,1200,91898645
1,621,1200,91921718
1,622,1200,91946197
1,623,1200,91969635
1,624,1200,91993697
1,625,1200,92016718
1,626,1200,92041718
1,627,1200,92066875
1,628,1200,92090625
1,629,1200,92114218
1,630,1200,92137239
1,631,1200,92160364
1,632,1200,92185520
1,633,1200,92208958
1,634,1200,92232656
1,635,1200,92255625
1,636,1200,92278697
1,637,1200,92319583
1,638,1200,92357187
1,639,1200,92394375
1,640,1200,92434791
1,641,1200,92476354
1,642,1200,92517083
1,643,1200,92555729
1,644,1200,92598385
1,645,1200,92637083
1,646,1200,92675625
1,647,1200,92712708
1,648,1200,92750520
1,649,1200,97365208
1,650,1200,97408125
1,651,1200,97447500
1,652,1200,97485208
1,653,1200,97529791
1,654,1200,97568697
1,655,1200,97606302
1,656,1200,97644375
1,657,1200,97683489
1,658,1200,97719635
1,659,1200,97759218
1,660,1200,97807187
1,661,1200,98378437
1,662,1200,98525833
1,663,1200,98670052
1,664,1200,98818958
1,665,1200,98964062
1,666,1200,99130885
1,667,1200,99277552
1,668,1200,99421093
1,669,1200,99570520
1,670,1200,99719166
1,671,1200,99868645
1,672,1200,100015625
1,673,1200,100180885
1,674,1200,100387656
1,675,1200,100534114
1,676,1200,100680677
1,677,1200,100830260
1,678,1200,100975468
1,679,1200,101120052
1,680,1200,101285000
1,681,1200,101433229
1,682,1200,101578072
1,683,1200,101726562
1,684,1200,101874010
1,685,1200,102020156
1,686,1200,102168020
1,687,1200,102336406
1,688,1200,102491875
1,689,1200,102645781
1,690,1200,102793750
1,691,1200,102941666
1,692,1200,103087552
1,693,1200,103237656
1,694,1200,103404062
1,695,1200,103552916
1,696,1200,103698802
1,697,1200,103852291
1,698,1200,103997239
1,699,1200,104146458
1,700,1200,104293177
1,701,1200,104456927
1,702,1200,104604531
1,703,1200,104751927
1,704,1200,104898281
1,705,1200,105045052
1,706,1200,105191666
1,707,1200,105336666
1,708,1200,105501614
1,709,1200,105648593
1,710,1200,105791822
1,711,1200,105970156
1,712,1200,106125520
1,713,1200,106272656
1,714,1200,106419427
1,715,1200,106587916
1,716,1200,106735208
1,717,1200,106885156
1,718,1200,107033489
1,719,1200,107182552
1,720,1200,107440312
1,721,1200,107622760
1,722,1200,107785416
1,723,1200,107933854
1,724,1200,108078229
1,725,1200,108223593
1,726,1200,108376354
1,727,1200,108524062
1,728,1200,108671406
1,729,1200,108836145
1,730,1200,108984218
1,731,1200,109130208
1,732,1200,109279270
1,733,1200,109444218
1,734,1200,109588697
1,735,1200,109771197
1,736,1200,109965468
1,737,1200,110110312
1,738,1200,110254895
1,739,1200,110402187
1,740,1200,110547864
1,741,1200,110693229
1,742,1200,110846093
1,743,1200,111016145
1,744,1200,111164531
1,745,1200,111309531
1,746,1200,111459375
1,747,1200,111606510
1,748,1200,111754218
1,749,1200,111932760
1,750,1200,112102968
1,751,1200,112288437
1,752,1200,112436875
1,753,1200,112584843
1,754,1200,112731510
1,755,1200,112878593
1,756,1200,113027135
1,757,1200,113191875
1,758,1200,113341406
1,759,1200,113492968
1,760,1200,113638854
1,761,1200,113787864
1,762,1200,113932968
1,763,1200,114080937
1,764,1200,114256927
1,765,1200,114403593
1,766,1200,114550000
1,767,1200,114741041
1,768,1200,114888072
1,769,1200,115034947
1,770,1200,115184218
1,771,1200,115347500
1,772,1200,115494479
1,773,1200,115641302
1,774,1200,115788958
1,775,1200,115939166
2,1,1200,0
2,2,1200,79531
2,3,1200,7459011
2,4,1200,7525469
2,5,1200,7581250
2,6,1200,7638438
2,7,1200,7701823
2,8,1200,7754896
2,9,1200,7810729
2,10,1200,7870677
2,11,1200,7923906
2,12,1200,8395833
2,13,1200,8448386
2,14,1200,8508073
2,15,1200,8562188
2,16,1200,8619427
2,17,1200,9080729
2,18,1200,9138125
2,19,1200,9193281
2,20,1200,9247396
2,21,1200,9316563
2,22,1200,9374271
2,23,1200,9428906
2,24,1200,9482813
2,25,1200,9538906
2,26,1200,9593646
2,27,1200,9650938
2,28,1200,9713698
2,29,1200,9769063
2,30,1200,9823490
2,31,1200,9886719
2,32,1200,9943333
2,33,1200,9998386
2,34,1200,10053229
2,35,1200,10117188
2,36,1200,10175313
2,37,1200,10231511
2,38,1200,14802552
2,39,1200,15856667
2,40,1200,15963906
2,41,1200,16070469
2,42,1200,16191823
2,43,1200,16299531
2,44,1200,16404583
2,45,1200,17301094
2,46,1200,17413490
2,47,1200,17525000
2,48,1200,17632552
2,49,1200,17755469
2,50,1200,17870052
2,51,1200,17978906
2,52,1200,18086094
2,53,1200,18195261
2,54,1200,18303646
2,55,1200,18409896
2,56,1200,18535000
2,57,1200,18641875
2,58,1200,18747500
2,59,1200,18856302
2,60,1200,18996511
2,61,1200,19107396
2,62,1200,22518542
2,63,1200,22656771
2,64,1200,22780573
2,65,1200,22897604
2,66,1200,23010417
2,67,1200,23120365
2,68,1200,23450000
2,69,1200,23574479
2,70,1200,23715000
2,71,1200,23950833
2,72,1200,24197604
2,73,1200,24392813
2,74,1200,24516042
2,75,1200,24636042
2,76,1200,24795886
2,77,1200,24936146
2,78,1200,25056719
2,79,1200,28985365
2,80,1200,29117708
2,81,1200,29242865
2,82,1200,29474844
2,83,1200,29583802
2,84,1200,29710781
2,85,1200,29819427
2,86,1200,29926250
2,87,1200,30040156
2,88,1200,30148490
2,89,1200,30258698
2,90,1200,30367240
2,91,1200,30528854
2,92,1200,30639323
2,93,1200,34429583
2,94,1200,34483073
2,95,1200,34530625
2,96,1200,34576927
2,97,1200,34622708
2,98,1200,34675938
2,99,1200,34737448
2,100,1200,34784167
2,101,1200,34832917
2,102,1200,34878021
2,103,1200,34924583
2,104,1200,34984688
2,105,1200,35034688
2,106,1200,35099583
2,107,1200,35145886
2,108,1200,35190469
2,109,1200,35237136
2,110,1200,35283386
2,111,1200,35337188
2,112,1200,35383542
